2014-01-16 21:10:55,955 [main] INFO  org.asal.jac.dao.FileParser - Datas extracted
2014-01-16 21:10:55,955 [main] INFO  org.asal.jac.dao.FileParser - Reading lines from file : C:\Users\Adoo\toto\fuckoff.music
2014-01-16 21:10:55,966 [main] INFO  org.asal.jac.dao.FileParser - File found: C:\Users\Adoo\toto\fuckoff.music
2014-01-16 21:10:55,966 [main] INFO  org.asal.jac.dao.FileParser - Starting to check line : lalalala
2014-01-16 21:10:55,967 [main] INFO  org.asal.jac.dao.FileParser - Line incorrect : lalalala
2014-01-16 21:10:55,967 [main] INFO  org.asal.jac.dao.FileParser - File invalid : C:\Users\Adoo\toto\fuckoff.music
It will be stocked inC:\Users\Adoo\toto\wrong
2014-01-16 21:10:55,967 [main] INFO  org.asal.jac.dao.FileParser - File C:\Users\Adoo\toto\fuckoff.music archived in C:\Users\Adoo\toto\wrong
2014-01-16 21:10:55,969 [main] INFO  org.asal.jac.dao.FileParser - Starting to write datas for file C:\Users\Adoo\toto\fuckoff.music in a Hash
2014-01-16 21:10:55,969 [main] INFO  org.asal.jac.dao.FileParser - File C:\Users\Adoo\toto\fuckoff.txt archived in C:\Users\Adoo\toto\wrong
2014-01-16 21:10:55,970 [main] INFO  org.asal.jac.dao.FileParser - Reading lines from file : C:\Users\Adoo\toto\test.music
2014-01-16 21:10:55,971 [main] INFO  org.asal.jac.dao.FileParser - File found: C:\Users\Adoo\toto\test.music
2014-01-16 21:10:55,971 [main] INFO  org.asal.jac.dao.FileParser - Starting to check line : 1, NomArtiste, 1, NomAlbum, 1, TitreChanson, 1232
2014-01-16 21:10:55,971 [main] INFO  org.asal.jac.dao.FileParser - Line correct : 1, NomArtiste, 1, NomAlbum, 1, TitreChanson, 1232
2014-01-16 21:10:55,971 [main] INFO  org.asal.jac.dao.FileParser - File : C:\Users\Adoo\toto\test.music correct
Stored in C:\Users\Adoo\toto\right
2014-01-16 21:10:55,972 [main] INFO  org.asal.jac.dao.FileParser - Starting to check line : 1, NomArtiste, 1, NomAlbum, 2, TitreChanson2, 1234
2014-01-16 21:10:55,972 [main] INFO  org.asal.jac.dao.FileParser - Line correct : 1, NomArtiste, 1, NomAlbum, 2, TitreChanson2, 1234
2014-01-16 21:10:55,972 [main] INFO  org.asal.jac.dao.FileParser - File : C:\Users\Adoo\toto\test.music correct
Stored in C:\Users\Adoo\toto\right
2014-01-16 21:10:55,972 [main] INFO  org.asal.jac.dao.FileParser - Starting to check line : 1, NomArtiste, 2, NomAlbum2, 1, TitreChansonALB2, 1233
2014-01-16 21:10:55,972 [main] INFO  org.asal.jac.dao.FileParser - Line correct : 1, NomArtiste, 2, NomAlbum2, 1, TitreChansonALB2, 1233
2014-01-16 21:10:55,972 [main] INFO  org.asal.jac.dao.FileParser - File : C:\Users\Adoo\toto\test.music correct
Stored in C:\Users\Adoo\toto\right
2014-01-16 21:10:55,972 [main] INFO  org.asal.jac.dao.FileParser - Starting to check line : 2, NomArtiste2, 3, NomAlbumNEWART, 1, TitreChansonNEWART, 1222
